Parent Object,Operation,Component Type,Component Name,API Name,Comments,Owner: Full Name,Last Modified Date
null,Update,ApexClass,APTS_InvoiceGenerationBatch, , ,Artem Nakhapetiani,Thu Jan 11 18:26:39 GET 2018
null,Update,ApexClass,APTS_InvoiceGenerationBatchTest, , ,Tengo Lebanidze,Wed Dec 27 16:45:28 GET 2017
null,Update,ApexClass,APTS_InvoiceGenerationScheduledJob, , ,Tengo Lebanidze,Tue Dec 19 15:57:17 GET 2017
null,Update,ApexClass,APTS_InvoiceTriggerHandler, , ,Tengo Lebanidze,Tue Dec 26 19:04:41 GET 2017
null,Update,ApexClass,APTS_JITHandler, , ,Joey Schmidt,Fri Dec 01 00:21:41 GET 2017
null,Update,ApexClass,APTS_JITHandlerTest, , ,Joey Schmidt,Mon Oct 30 23:10:03 GET 2017
null,Update,ApexClass,APTS_LineItems, , ,Artem Nakhapetiani,Mon Dec 25 18:55:24 GET 2017
null,Update,ApexClass,APTS_LineItemsSelector, , ,Artem Nakhapetiani,Mon Dec 25 18:54:38 GET 2017
null,Update,ApexClass,APTS_MocksObjectProvider, , ,Artem Nakhapetiani,Thu Jan 11 19:00:28 GET 2018
null,Update,ApexClass,APTS_PaymetricHttpService, , ,Artem Nakhapetiani,Wed Dec 20 15:21:25 GET 2017
null,Update,ApexClass,APTS_PaymetricService, , ,Artem Nakhapetiani,Thu Nov 02 20:23:19 GET 2017
null,Update,ApexClass,APTS_PaymetricServiceImpl, , ,Artem Nakhapetiani,Wed Dec 20 15:19:32 GET 2017
null,Update,ApexClass,APTS_PaymetricServiceTest, , ,Yury Yagutyan,Wed Nov 15 15:45:46 GET 2017
null,Update,ApexClass,APTS_PriceListItemsSelector, , ,Artem Nakhapetiani,Fri Nov 24 15:54:44 GET 2017
null,Update,ApexClass,APTS_PriceListsSelector, , ,Yury Yagutyan,Tue Dec 26 14:48:24 GET 2017
null,Update,ApexClass,APTS_ProductConfigurations, , ,Tengo Lebanidze,Tue Dec 26 16:31:41 GET 2017
null,Update,ApexClass,APTS_ProposalsSelector, , ,Artem Nakhapetiani,Thu Nov 02 21:01:13 GET 2017
null,Update,ApexClass,APTS_SendInvoiceEmailNotification, , ,Artem Nakhapetiani,Mon Dec 04 19:19:02 GET 2017
null,Update,ApexClass,APTS_TestDataFactory, , ,Tengo Lebanidze,Wed Dec 27 16:48:20 GET 2017
null,Update,ApexClass,APTS_UserService, , ,Tengo Lebanidze,Sun Nov 26 21:40:23 GET 2017
null,Update,ApexClass,APTS_UserServiceImpl, , ,Tengo Lebanidze,Fri Dec 29 16:16:18 GET 2017
null,Update,ApexClass,APTS_Users, , ,Tengo Lebanidze,Fri Dec 29 16:23:07 GET 2017
null,Update,ApexClass,APTS_UsersSelector, , ,Artem Nakhapetiani,Mon Dec 18 13:10:02 GET 2017
null,Update,ApexClass,createLCBSAccount, , ,Shiyam Sundar,Wed Dec 20 02:01:39 GET 2017
null,Create,ApexClass,createQueueableUser, , ,Shiyam Sundar,Wed Dec 20 01:41:29 GET 2017
null,Update,StaticResource,APTS_HBTRR_MAIN, , ,Gary Yagutyan,Mon Jan 08 17:11:59 GET 2018
null,Create,StaticResource,TEST_ATTACHMENT_RESOURCE, , ,Tengo Lebanidze,Thu Nov 30 19:25:40 GET 2017
Associated Product,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:47 GET 2017
Account,Update,CustomField,Customer Tier,APTS_Customer_Tier__c,ISP customer level pricing tiers set by MaxPro Cloud that determine promotional pricing adjustments,Blake Williams,Tue Nov 14 22:24:28 GET 2017
